baseline_method,baseline_type,count,percentage,cumulative_percentage
EnergyPlus,SC,31,10.33,10.33
Traditional Simulation Model,SC,27,9.0,19.33
Ensemble Forecast,SC,20,6.67,26.0
Classical Extrapolation,SC,18,6.0,32.0
CFD,SC,18,6.0,38.0
Genetic Algorithm,SC,9,3.0,41.0
SUTRA,SC,8,2.67,43.67
GDAPS,SC,8,2.67,46.34
TRNSYS,SC,7,2.33,48.67
FEM,SC,7,2.33,51.0
All-Atom Simulation,SC,6,2.0,53.0
Black-Scholes Model,SC,6,2.0,55.0
Andersen and Broadie Model,SC,6,2.0,57.0
Monte Carlo,SC,5,1.67,58.67
MART,SC,5,1.67,60.34
Navier-Stokes Model,SC,4,1.33,61.67
LDAPS,SC,4,1.33,63.0
Lumerical MODE Model,SC,4,1.33,64.33
Matched Filter,SC,4,1.33,65.66
Dijkstra Model,SC,4,1.33,66.99
IFS Model,SC,4,1.33,68.32
IFS T42 Model,SC,4,1.33,69.65
FD,SC,4,1.33,70.98
COSMO-1,SC,4,1.33,72.31
G4MP2,SC,4,1.33,73.64
B-spline FFD,SC,3,1.0,74.64
OPAL,SC,3,1.0,75.64
MIC-CG Pressure Model,SC,3,1.0,76.64
MAGPHYS,SC,3,1.0,77.64
Lorenz 96 Model,SC,2,0.67,78.31
Spectral Model (Chebfun),SC,2,0.67,78.98
NSGA-II,SC,2,0.67,79.65
GEANT4,SC,2,0.67,80.32
SPCAM,SC,2,0.67,80.99
Exact Solution (Numerical Model),SC,2,0.67,81.66
EPREM,SC,2,0.67,82.33
DFT,SC,2,0.67,83.0
CONTAM,SC,2,0.67,83.67
POD-Galerkin,SC,2,0.67,84.34
NLSE Model,SC,2,0.67,85.01
RTE + RRTMGP,SC,2,0.67,85.68
FDM,SC,2,0.67,86.35
Monte Carlo (Levenberg-Marquardt),SC,2,0.67,87.02
PR-MART,SC,2,0.67,87.69
TDDFT,SC,2,0.67,88.36
PPXF,SC,1,0.33,88.69
FFT,SC,1,0.33,89.02
Linear Black-Scholes Model,SC,1,0.33,89.35
F2 Model,SC,1,0.33,89.68
MLEM,SC,1,0.33,90.01
Direct Topology Model,SC,1,0.33,90.34
EAC4 Reanalyses,SC,1,0.33,90.67
NOGWD Model,SC,1,0.33,91.0
Heston Model,SC,1,0.33,91.33
SABR 2FPDE,SC,1,0.33,91.66
SABR Integration,SC,1,0.33,91.99
Fourier-based Model,SC,1,0.33,92.32
Brent's Model,SC,1,0.33,92.65
HC Model,SC,1,0.33,92.98
F1 Model,SC,1,0.33,93.31
ETKF-Q,SC,1,0.33,93.64
CFS,SC,1,0.33,93.97
Barotropic Vorticity Model,SC,1,0.33,94.3
EM,SC,1,0.33,94.63
PR92 Model,SC,1,0.33,94.96
Bayesian analysis + XES,SC,1,0.33,95.29
Radiance Model,SC,1,0.33,95.62
FDTD,SC,1,0.33,95.95
FVFDM,SC,1,0.33,96.28
HoneyBee Daylight Model,SC,1,0.33,96.61
FMM (Fast Marching Method),SC,1,0.33,96.94
Markov Chain Monte Carlo,SC,1,0.33,97.27
EPANET-GA,SC,1,0.33,97.6
Structural Homology Baseline,SC,1,0.33,97.93
ELCIRC,SC,1,0.33,98.26
Traditional Force Fields (TFF),SC,1,0.33,98.59
G4MP2A,SC,1,0.33,98.92
Pseudo-spectral Model,SC,1,0.33,99.25
Interior-Point Model,SC,1,0.33,99.58
Branching Diffusion Model,SC,1,0.33,99.91
