baseline_method,baseline_type,count,percentage,cumulative_percentage
ML (Other),TS,21,20.19,20.19
Random Forest,TS,17,16.35,36.54
Logistic Regression,TS,11,10.58,47.12
SVM,TS,8,7.69,54.81
SVR,TS,8,7.69,62.5
k-NN,TS,7,6.73,69.23
BDT,TS,7,6.73,75.96
GB,TS,4,3.85,79.81
Linear Regression,TS,4,3.85,83.66
NB,TS,4,3.85,87.51
M–σ,TS,3,2.88,90.39
TSVD,TS,2,1.92,92.31
SDM,TS,2,1.92,94.23
LDA,TS,2,1.92,96.15
ImPACT_BDT,TS,1,0.96,97.11
ImPACT,TS,1,0.96,98.07
Gaussian Processes,TS,1,0.96,99.03
hybrid k-NN,TS,1,0.96,99.99
