baseline_method,baseline_type,count,percentage,cumulative_percentage
SVM,TS,8,14.04,14.04
Random Forest,TS,6,10.53,24.57
Dijkstra Model,SC,4,7.02,31.59
Lumerical MODE Model,SC,4,7.02,38.61
k-NN,TS,3,5.26,43.87
Genetic Algorithm,TS,3,5.26,49.13
Traditional Simulation Model,SC,3,5.26,54.39
StationSeeker,TS,2,3.51,57.9
NB,TS,2,3.51,61.41
DT,TS,2,3.51,64.92
SGD,TS,1,1.75,66.67
FEM,SC,1,1.75,68.42
Interior-Point Model,SC,1,1.75,70.17
Direct Topology Model,SC,1,1.75,71.92
Linear Regression,TS,1,1.75,73.67
DTR,TS,1,1.75,75.42
FVFDM,SC,1,1.75,77.17
Gaussian Process Regressor,TS,1,1.75,78.92
Logistic Regression,TS,1,1.75,80.67
STA/LTA,TS,1,1.75,82.42
SVR,TS,1,1.75,84.17
KSVD,TS,1,1.75,85.92
FilterPicker,TS,1,1.75,87.67
Kurtosis,TS,1,1.75,89.42
AdaBoost,TS,1,1.75,91.17
ODP,TS,1,1.75,92.92
FDTD,SC,1,1.75,94.67
LOESS,TS,1,1.75,96.42
Projection Pursuit Regression (PPR),TS,1,1.75,98.17
JMA Manual Picks,TS,1,1.75,99.92
