baseline_method,baseline_type,count,percentage,cumulative_percentage
Random Forest,TS,12,17.14,17.14
Logistic Regression,TS,11,15.71,32.85
SVM,TS,7,10.0,42.85
BDT,TS,7,10.0,52.85
k-NN,TS,6,8.57,61.42
Matched Filter,SC,4,5.71,67.13
FD,SC,4,5.71,72.84
ML (Other),TS,4,5.71,78.55
MAGPHYS,SC,3,4.29,82.84
M–σ,TS,3,4.29,87.13
SDM,TS,2,2.86,89.99
LDA,TS,2,2.86,92.85
ImPACT,TS,1,1.43,94.28
PPXF,SC,1,1.43,95.71
ImPACT_BDT,TS,1,1.43,97.14
Gaussian Processes,TS,1,1.43,98.57
Linear Regression,TS,1,1.43,100.0
